tname	annotation	tfgenename	tfcount	rgenename	rcount	nprttype
Head	adult brain cell body glial cell	acj6	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	aop	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	Argk	1	AstC-R1	1	npr
Head	adult brain cell body glial cell	Atac3	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	bigmax	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	bru3	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	bru3	1	AstC-R1	1	npr
Head	adult brain cell body glial cell	bru3	4	Pdfr	4	npr
Head	adult brain cell body glial cell	bru3	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	bs	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	bsh	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	BtbVII	4	Pdfr	4	npr
Head	adult brain cell body glial cell	Cf2	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	CG16779	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	CG16779	4	Pdfr	4	npr
Head	adult brain cell body glial cell	CG16779	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	CG44247	8	Pdfr	8	npr
Head	adult brain cell body glial cell	CG44247	4	sNPF-R	4	npr
Head	adult brain cell body glial cell	CG9727	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	CHES-1-like	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	Clk	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	cnc	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	CrebB	4	Pdfr	4	npr
Head	adult brain cell body glial cell	CrebB	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	crp	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	crp	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	cwo	4	AstA-R1	4	npr
Head	adult brain cell body glial cell	D	4	Pdfr	4	npr
Head	adult brain cell body glial cell	dsx	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	Eip74EF	1	AstC-R1	1	npr
Head	adult brain cell body glial cell	Ets65A	2	AstC-R1	2	npr
Head	adult brain cell body glial cell	ey	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	FoxP	4	AstA-R1	4	npr
Head	adult brain cell body glial cell	FoxP	2	AstC-R1	2	npr
Head	adult brain cell body glial cell	grn	4	AstA-R1	4	npr
Head	adult brain cell body glial cell	hth	4	AstA-R1	4	npr
Head	adult brain cell body glial cell	hth	8	Pdfr	8	npr
Head	adult brain cell body glial cell	hth	4	sNPF-R	4	npr
Head	adult brain cell body glial cell	kay	1	AstC-R1	1	npr
Head	adult brain cell body glial cell	Kdm4B	4	Pdfr	4	npr
Head	adult brain cell body glial cell	Kr	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	Lmx1a	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	luna	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	luna	4	Pdfr	4	npr
Head	adult brain cell body glial cell	luna	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	maf-S	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	Mef2	4	AstA-R1	4	npr
Head	adult brain cell body glial cell	Mef2	8	Pdfr	8	npr
Head	adult brain cell body glial cell	Mef2	4	sNPF-R	4	npr
Head	adult brain cell body glial cell	Mondo	4	Pdfr	4	npr
Head	adult brain cell body glial cell	nej	4	sNPF-R	4	npr
Head	adult brain cell body glial cell	oc	1	AstC-R1	1	npr
Head	adult brain cell body glial cell	onecut	4	AstA-R1	4	npr
Head	adult brain cell body glial cell	onecut	2	AstC-R1	2	npr
Head	adult brain cell body glial cell	onecut	7	Pdfr	7	npr
Head	adult brain cell body glial cell	onecut	4	sNPF-R	4	npr
Head	adult brain cell body glial cell	otp	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	pan	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	pan	4	Pdfr	4	npr
Head	adult brain cell body glial cell	peb	1	AstC-R1	1	npr
Head	adult brain cell body glial cell	pros	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	Psi	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	Psi	1	AstC-R1	1	npr
Head	adult brain cell body glial cell	Psi	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	Rbp6	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	Rbp6	1	AstC-R1	1	npr
Head	adult brain cell body glial cell	Rbp6	4	Pdfr	4	npr
Head	adult brain cell body glial cell	Rbp6	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	Rfx	4	Pdfr	4	npr
Head	adult brain cell body glial cell	Rfx	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	Rx	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	sd	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	sima	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	sima	4	Pdfr	4	npr
Head	adult brain cell body glial cell	sima	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	Sox102F	2	AstC-R1	2	npr
Head	adult brain cell body glial cell	Sox21b	7	Pdfr	7	npr
Head	adult brain cell body glial cell	SoxN	2	AstC-R1	2	npr
Head	adult brain cell body glial cell	SoxN	8	Pdfr	8	npr
Head	adult brain cell body glial cell	Spps	4	Pdfr	4	npr
Head	adult brain cell body glial cell	sr	4	AstA-R1	4	npr
Head	adult brain cell body glial cell	sr	8	Pdfr	8	npr
Head	adult brain cell body glial cell	sr	4	sNPF-R	4	npr
Head	adult brain cell body glial cell	sv	4	Pdfr	4	npr
Head	adult brain cell body glial cell	svp	7	Pdfr	7	npr
Head	adult brain cell body glial cell	svp	4	sNPF-R	4	npr
Head	adult brain cell body glial cell	Tet	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	Tet	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	tj	2	AstA-R1	2	npr
Head	adult brain cell body glial cell	Trf2	4	Pdfr	4	npr
Head	adult brain cell body glial cell	Trf2	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	trx	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	usp	2	sNPF-R	2	npr
Head	adult brain cell body glial cell	Vsx1	1	AstC-R1	1	npr
Head	adult brain cell body glial cell	vvl	4	sNPF-R	4	npr
Head	adult brain cell body glial cell	Xbp1	2	sNPF-R	2	npr
Head	adult brain perineurial glial cell	achi	50	AstC-R2	50	npr
Head	adult brain perineurial glial cell	acj6	466	sNPF-R	466	npr
Head	adult brain perineurial glial cell	aop	195	AstA-R1	195	npr
Head	adult brain perineurial glial cell	Argk	77	AstC-R1	77	npr
Head	adult brain perineurial glial cell	Argk	23	SIFaR	23	npr
Head	adult brain perineurial glial cell	Atac3	236	sNPF-R	236	npr
Head	adult brain perineurial glial cell	B-H2	106	CrzR	106	npr
Head	adult brain perineurial glial cell	BEAF-32	11	SIFaR	11	npr
Head	adult brain perineurial glial cell	bigmax	465	sNPF-R	465	npr
Head	adult brain perineurial glial cell	bru3	195	AstA-R1	195	npr
Head	adult brain perineurial glial cell	bru3	77	AstC-R1	77	npr
Head	adult brain perineurial glial cell	bru3	52	AstC-R2	52	npr
Head	adult brain perineurial glial cell	bru3	1	CapaR	1	npr
Head	adult brain perineurial glial cell	bru3	149	CrzR	149	npr
Head	adult brain perineurial glial cell	bru3	45	FMRFaR	45	npr
Head	adult brain perineurial glial cell	bru3	118	Pdfr	118	npr
Head	adult brain perineurial glial cell	bru3	23	SIFaR	23	npr
Head	adult brain perineurial glial cell	bru3	466	sNPF-R	466	npr
Head	adult brain perineurial glial cell	bs	195	AstA-R1	195	npr
Head	adult brain perineurial glial cell	bsh	192	AstA-R1	192	npr
Head	adult brain perineurial glial cell	BtbVII	118	Pdfr	118	npr
Head	adult brain perineurial glial cell	BtbVII	23	SIFaR	23	npr
Head	adult brain perineurial glial cell	Cf2	23	SIFaR	23	npr
Head	adult brain perineurial glial cell	Cf2	466	sNPF-R	466	npr
Head	adult brain perineurial glial cell	CG16779	195	AstA-R1	195	npr
