tf	tfcount	gene	gcount	nprtype
abd-A_(+)-NP	10	AstC	4	np
Abd-B_(+)-NP	108	AstA	1	np
Abd-B_(+)-NP	94	AstC	9	np
Abd-B_(+)-NP	133	natalisin	59	np
Abd-B_(+)-NP	18	sNPF	51	np
Abd-B_(-)-NP	108	AstA	1	np
Abd-B_(-)-NP	133	natalisin	59	np
Antp_(+)-NP	3	NPF	4	np
aop_(+)-NP	7406	sNPF	75	np
aop_(-)-NP	8983	sNPF	75	np
Atf-2_(+)-NP	126	AstA	88	np
Atf3_(-)-NP	80	AstA	100	np
Atf3_(-)-NP	389	natalisin	154	np
Atf6_(-)-NP	138	AstA	31	np
Atf6_(-)-NP	1915	sNPF	86	np
ato_(+)-NP	216	AstA	44	np
Awh_(+)-NP	11	natalisin	1	np
bbx_(+)-NP	7880	sNPF	28	np
bi_(+)-NP	112	AstA	7	np
bi_(-)-NP	56	AstA	7	np
Blimp-1_(+)-NP	33	Crz	4	np
bowl_(+)-NP	425	natalisin	4	np
BtbVII_(-)-NP	400	sNPF	29	np
byn_(+)-NP	10	NPF	100	np
cad_(+)-NP	15	Pdf	10	np
Cf2_(-)-NP	74	AstA	65	np
Cf2_(-)-NP	88	natalisin	96	np
Cf2_(-)-NP	557	sNPF	27	np
CG11294_(+)-NP	151	sNPF	37	np
CG12605_(+)-NP	215	FMRFa	10	np
CG12605_(+)-NP	10	sNPF	1	np
CG12605_(-)-NP	225	FMRFa	10	np
CG12605_(-)-NP	18	sNPF	1	np
CG16779_(-)-NP	51	sNPF	34	np
CG17802_(+)-NP	4	FMRFa	3	np
CG17802_(+)-NP	1103	sNPF	74	np
CG3065_(+)-NP	32	FMRFa	6	np
CG32532_(+)-NP	280	SIFa	27	np
CG42741_(+)-NP	1	SIFa	1	np
CG44247_(-)-NP	3332	AstA	123	np
CG44247_(-)-NP	3038	AstC	24	np
CG44247_(-)-NP	399	FMRFa	99	np
CG44247_(-)-NP	13515	sNPF	300	np
CG4730_(+)-NP	21	FMRFa	1	np
CG5245_(+)-NP	192	AstC	5	np
CG5245_(+)-NP	1071	sNPF	1	np
CG6769_(+)-NP	25	NPF	1	np
CG8319_(+)-NP	18	sNPF	25	np
CG9650_(-)-NP	42	AstC	1	np
CHES-1-like_(-)-NP	242	natalisin	30	np
CHES-1-like_(-)-NP	42	sNPF	38	np
ci_(+)-NP	558	sNPF	2	np
