tname	tf	tfgenename	tfcount	gene	tfauc	gcount	npmotifregweight	npgexpress	nprtype
Head	CG32532_(+)-NP	CG32532	280	SIFa	0.10215	27	31.3	2.05	np
Head	CG44247_(-)-NP	CG44247	2306	AstA	0.04618	97	19.6	5.83608	np
Head	CG44247_(-)-NP	CG44247	3038	AstC	0.04868	24	28.6	3.25346	np
Head	CG44247_(-)-NP	CG44247	399	FMRFa	0.03004	99	99.4	5.18546	np
Head	CG44247_(-)-NP	CG44247	11541	sNPF	0.02778	100	81.2	2.68235	np
Head	Clk_(-)-NP	Clk	14098	sNPF	0.27456	4	0.1	2.71301	np
Head	cyc_(+)-NP	cyc	11784	sNPF	0.11412	2	1.9	2.69671	np
Head	ey_(+)-NP	ey	14098	sNPF	0.18171	100	101.2	2.71301	np
Head	fkh_(+)-NP	fkh	14098	sNPF	0.12696	1	2.6	2.71301	np
Head	ftz-f1_(-)-NP	ftz-f1	9188	Capa	0.0634	2	1	1.56944	np
Head	Hr38_(+)-NP	Hr38	14013	sNPF	0.08191	7	30.1	2.72304	np
Head	hth_(-)-NP	hth	2602	AstA	0.16249	50	14.6	6.18601	np
Head	hth_(-)-NP	hth	13446	sNPF	0.1543	5	4.9	2.72802	np
Head	Mef2_(-)-NP	Mef2	9108	sNPF	0.05653	90	18.2	2.44368	np
Head	Mnt_(+)-NP	Mnt	3586	AstC	0.20104	2	8.7	3.30117	np
Head	nub_(+)-NP	nub	317	FMRFa	0.03119	18	34.2	6.88328	np
Head	onecut_(-)-NP	onecut	2942	sNPF	0.05778	19	16.3	2.38273	np
Head	pb_(+)-NP	pb	14098	sNPF	0.08438	2	24.4	2.71301	np
Head	scrt_(-)-NP	scrt	9204	Capa	0.05938	97	15.8	1.5804	np
Head	Scr_(+)-NP	Scr	408	FMRFa	0.01643	6	41.7	5.58824	np
Head	Six4_(+)-NP	Six4	3374	AstC	0.17765	1	1.4	3.43509	np
Head	Six4_(+)-NP	Six4	13895	sNPF	0.17638	1	1.1	2.73746	np
