tname	annotation	tfgenename	tfcount	rgenename	rcount	nprttype
Head	adult brain perineurial glial cell	Atac3	77	sNPF	77	np
Head	adult brain perineurial glial cell	BtbVII	83	sNPF	83	np
Head	adult brain perineurial glial cell	CG16779	16	AstA	16	np
Head	adult brain perineurial glial cell	CG16779	12	AstC	12	np
Head	adult brain perineurial glial cell	CG16779	83	sNPF	83	np
Head	adult brain perineurial glial cell	CG44247	30	AstA	30	np
Head	adult brain perineurial glial cell	CG44247	22	AstC	22	np
Head	adult brain perineurial glial cell	CG44247	7	FMRFa	7	np
Head	adult brain perineurial glial cell	CG44247	153	sNPF	153	np
Head	adult brain perineurial glial cell	Cf2	83	sNPF	83	np
Head	adult brain perineurial glial cell	Clk	83	sNPF	83	np
Head	adult brain perineurial glial cell	CrebB	83	sNPF	83	np
Head	adult brain perineurial glial cell	E2f1	12	AstC	12	np
Head	adult brain perineurial glial cell	E2f1	83	sNPF	83	np
Head	adult brain perineurial glial cell	Ets96B	5	NPF	5	np
Head	adult brain perineurial glial cell	Hr38	81	sNPF	81	np
Head	adult brain perineurial glial cell	Kdm4B	83	sNPF	83	np
Head	adult brain perineurial glial cell	Lim3	16	AstA	16	np
Head	adult brain perineurial glial cell	Lim3	83	sNPF	83	np
Head	adult brain perineurial glial cell	Mef2	132	sNPF	132	np
Head	adult brain perineurial glial cell	Mnt	12	AstC	12	np
Head	adult brain perineurial glial cell	Psi	83	sNPF	83	np
Head	adult brain perineurial glial cell	Rbp6	83	sNPF	83	np
Head	adult brain perineurial glial cell	Rfx	12	AstC	12	np
Head	adult brain perineurial glial cell	Rfx	5	NPF	5	np
Head	adult brain perineurial glial cell	Rfx	83	sNPF	83	np
Head	adult brain perineurial glial cell	Rx	16	AstA	16	np
Head	adult brain perineurial glial cell	Rx	5	NPF	5	np
Head	adult brain perineurial glial cell	SREBP	7	Capa	7	np
Head	adult brain perineurial glial cell	Scr	4	FMRFa	4	np
Head	adult brain perineurial glial cell	Six4	12	AstC	12	np
Head	adult brain perineurial glial cell	Six4	83	sNPF	83	np
Head	adult brain perineurial glial cell	Sox21a	83	sNPF	83	np
Head	adult brain perineurial glial cell	Tet	16	AstA	16	np
Head	adult brain perineurial glial cell	Tet	83	sNPF	83	np
Head	adult brain perineurial glial cell	TfAP-2	14	AstA	14	np
Head	adult brain perineurial glial cell	Trf2	83	sNPF	83	np
Head	adult brain perineurial glial cell	Vsx1	16	AstA	16	np
Head	adult brain perineurial glial cell	Vsx2	26	AstA	26	np
Head	adult brain perineurial glial cell	bru3	16	AstA	16	np
Head	adult brain perineurial glial cell	crp	83	sNPF	83	np
Head	adult brain perineurial glial cell	cyc	71	sNPF	71	np
Head	adult brain perineurial glial cell	dimm	16	AstA	16	np
Head	adult brain perineurial glial cell	dimm	12	AstC	12	np
Head	adult brain perineurial glial cell	dimm	9	Crz	9	np
Head	adult brain perineurial glial cell	dimm	5	NPF	5	np
Head	adult brain perineurial glial cell	dimm	2	natalisin	2	np
Head	adult brain perineurial glial cell	dimm	83	sNPF	83	np
Head	adult brain perineurial glial cell	ey	83	sNPF	83	np
Head	adult brain perineurial glial cell	fkh	83	sNPF	83	np
Head	adult brain perineurial glial cell	ftz-f1	14	Capa	14	np
Head	adult brain perineurial glial cell	hth	32	AstA	32	np
Head	adult brain perineurial glial cell	hth	158	sNPF	158	np
Head	adult brain perineurial glial cell	luna	83	sNPF	83	np
Head	adult brain perineurial glial cell	nub	3	FMRFa	3	np
Head	adult brain perineurial glial cell	onecut	126	sNPF	126	np
Head	adult brain perineurial glial cell	pb	83	sNPF	83	np
Head	adult brain perineurial glial cell	scrt	7	Capa	7	np
Head	adult brain perineurial glial cell	sima	83	sNPF	83	np
Head	adult brain perineurial glial cell	slou	83	sNPF	83	np
Head	adult brain perineurial glial cell	sr	22	AstC	22	np
Head	adult brain perineurial glial cell	sr	6	FMRFa	6	np
Head	adult brain perineurial glial cell	sr	142	sNPF	142	np
Head	adult brain perineurial glial cell	svp	114	sNPF	114	np
Head	adult brain perineurial glial cell	toy	133	sNPF	133	np
Head	adult fat body	Atac3	4	sNPF	4	np
Head	adult fat body	BtbVII	4	sNPF	4	np
Head	adult fat body	CG16779	1	AstC	1	np
Head	adult fat body	CG16779	4	sNPF	4	np
Head	adult fat body	CG44247	2	AstC	2	np
Head	adult fat body	CG44247	8	sNPF	8	np
Head	adult fat body	Cf2	4	sNPF	4	np
Head	adult fat body	Clk	4	sNPF	4	np
Head	adult fat body	CrebB	4	sNPF	4	np
Head	adult fat body	E2f1	1	AstC	1	np
Head	adult fat body	E2f1	4	sNPF	4	np
Head	adult fat body	Hr38	4	sNPF	4	np
Head	adult fat body	Kdm4B	4	sNPF	4	np
Head	adult fat body	Lim3	4	sNPF	4	np
Head	adult fat body	Mef2	7	sNPF	7	np
Head	adult fat body	Mnt	1	AstC	1	np
Head	adult fat body	Psi	4	sNPF	4	np
Head	adult fat body	Rbp6	4	sNPF	4	np
Head	adult fat body	Rfx	1	AstC	1	np
Head	adult fat body	Rfx	4	sNPF	4	np
Head	adult fat body	Six4	1	AstC	1	np
Head	adult fat body	Six4	4	sNPF	4	np
Head	adult fat body	Sox21a	4	sNPF	4	np
Head	adult fat body	Tet	4	sNPF	4	np
Head	adult fat body	Trf2	4	sNPF	4	np
Head	adult fat body	crp	4	sNPF	4	np
Head	adult fat body	cyc	2	sNPF	2	np
Head	adult fat body	dimm	1	AstC	1	np
Head	adult fat body	dimm	4	sNPF	4	np
Head	adult fat body	ey	4	sNPF	4	np
Head	adult fat body	fkh	4	sNPF	4	np
Head	adult fat body	hth	8	sNPF	8	np
Head	adult fat body	luna	4	sNPF	4	np
Head	adult fat body	onecut	6	sNPF	6	np
Head	adult fat body	pb	4	sNPF	4	np
Head	adult fat body	sima	4	sNPF	4	np
Head	adult fat body	slou	4	sNPF	4	np
Head	adult fat body	sr	2	AstC	2	np
Head	adult fat body	sr	8	sNPF	8	np
Head	adult fat body	svp	7	sNPF	7	np
Head	adult fat body	toy	8	sNPF	8	np
Head	adult lamina epithelial/marginal glial cell	Atac3	51	sNPF	51	np
Head	adult lamina epithelial/marginal glial cell	BtbVII	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	CG16779	5	AstA	5	np
Head	adult lamina epithelial/marginal glial cell	CG16779	7	AstC	7	np
Head	adult lamina epithelial/marginal glial cell	CG16779	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	CG32532	1	SIFa	1	np
Head	adult lamina epithelial/marginal glial cell	CG44247	8	AstA	8	np
Head	adult lamina epithelial/marginal glial cell	CG44247	14	AstC	14	np
Head	adult lamina epithelial/marginal glial cell	CG44247	6	FMRFa	6	np
Head	adult lamina epithelial/marginal glial cell	CG44247	104	sNPF	104	np
Head	adult lamina epithelial/marginal glial cell	Cf2	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	Clk	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	CrebB	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	E2f1	7	AstC	7	np
Head	adult lamina epithelial/marginal glial cell	E2f1	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	Ets96B	3	NPF	3	np
Head	adult lamina epithelial/marginal glial cell	Hr38	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	Kdm4B	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	Lim3	5	AstA	5	np
Head	adult lamina epithelial/marginal glial cell	Lim3	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	Mef2	84	sNPF	84	np
Head	adult lamina epithelial/marginal glial cell	Mnt	7	AstC	7	np
Head	adult lamina epithelial/marginal glial cell	Psi	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	Rbp6	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	Rfx	7	AstC	7	np
Head	adult lamina epithelial/marginal glial cell	Rfx	3	NPF	3	np
Head	adult lamina epithelial/marginal glial cell	Rfx	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	Rx	5	AstA	5	np
Head	adult lamina epithelial/marginal glial cell	Rx	3	NPF	3	np
Head	adult lamina epithelial/marginal glial cell	SREBP	1	Capa	1	np
Head	adult lamina epithelial/marginal glial cell	Scr	2	FMRFa	2	np
Head	adult lamina epithelial/marginal glial cell	Six4	7	AstC	7	np
Head	adult lamina epithelial/marginal glial cell	Six4	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	Sox21a	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	Tet	5	AstA	5	np
Head	adult lamina epithelial/marginal glial cell	Tet	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	TfAP-2	4	AstA	4	np
Head	adult lamina epithelial/marginal glial cell	Trf2	57	sNPF	57	np
Head	adult lamina epithelial/marginal glial cell	Vsx1	5	AstA	5	np
Head	adult lamina epithelial/marginal glial cell	Vsx2	9	AstA	9	np
Head	adult lamina epithelial/marginal glial cell	bru3	5	AstA	5	np
Head	adult lamina epithelial/marginal glial cell	crp	57	sNPF	57	np
