tname	annotation	tfgenename	tfcount	npgenename	npcount	nprgenename	nprcount
Head	adult brain perineurial glial cell	Atac3	37	sNPF	37	sNPF-R	37
Head	adult brain perineurial glial cell	CG16779	8	AstA	8	AstA-R1	8
Head	adult brain perineurial glial cell	CG16779	42	sNPF	42	sNPF-R	42
Head	adult brain perineurial glial cell	CG44247	4	FMRFa	4	FMRFaR	4
Head	adult brain perineurial glial cell	CG44247	147	sNPF	147	sNPF-R	147
Head	adult brain perineurial glial cell	Cf2	42	sNPF	42	sNPF-R	42
Head	adult brain perineurial glial cell	CrebB	42	sNPF	42	sNPF-R	42
Head	adult brain perineurial glial cell	E2f1	3	AstC	3	AstC-R2	3
Head	adult brain perineurial glial cell	Mef2	111	sNPF	111	sNPF-R	111
Head	adult brain perineurial glial cell	Psi	42	sNPF	42	sNPF-R	42
Head	adult brain perineurial glial cell	Rbp6	42	sNPF	42	sNPF-R	42
Head	adult brain perineurial glial cell	Rfx	3	AstC	3	AstC-R2	3
Head	adult brain perineurial glial cell	Rfx	42	sNPF	42	sNPF-R	42
Head	adult brain perineurial glial cell	Rx	8	AstA	8	AstA-R1	8
Head	adult brain perineurial glial cell	Tet	8	AstA	8	AstA-R1	8
Head	adult brain perineurial glial cell	Tet	42	sNPF	42	sNPF-R	42
Head	adult brain perineurial glial cell	Trf2	42	sNPF	42	sNPF-R	42
Head	adult brain perineurial glial cell	bru3	8	AstA	8	AstA-R1	8
Head	adult brain perineurial glial cell	crp	42	sNPF	42	sNPF-R	42
Head	adult brain perineurial glial cell	dimm	3	AstC	3	AstC-R2	3
Head	adult brain perineurial glial cell	hth	32	AstA	32	AstA-R1	32
Head	adult brain perineurial glial cell	hth	156	sNPF	156	sNPF-R	156
Head	adult brain perineurial glial cell	luna	42	sNPF	42	sNPF-R	42
Head	adult brain perineurial glial cell	onecut	105	sNPF	105	sNPF-R	105
Head	adult brain perineurial glial cell	sima	42	sNPF	42	sNPF-R	42
Head	adult brain perineurial glial cell	sr	4	FMRFa	4	FMRFaR	4
Head	adult brain perineurial glial cell	sr	126	sNPF	126	sNPF-R	126
