tname	rgenename	tgenename
Head	AstA	bru3,CG16779,CG44247,dimm,hth,Lim3,Rx,Tet,TfAP-2,Vsx1,Vsx2
Head	AstC	CG16779,CG44247,dimm,E2f1,Mnt,Rfx,Six4,sr
Head	CCHa1	CG44247,Drgx,hth,Lim3,Ptx1,sr
Head	CCHa2	bab1,CG16779,CG32532,croc,crp,luna,Mef2,onecut,sr,Tet
Head	CNMa	CG44247,cyc,dimm,Myc,Rfx,srp,sug
Head	Capa	ftz-f1,scrt,SREBP
Head	Crz	dimm
Head	Dh31	Cf2,CG16779,CG44247,CrebB,crp,CycT,E2f1,fkh,Hr3,Hsf,hth,Mef2,Mnt,onecut,Psi,Ptx1,Rfx,sr,Tet,Trf2,trx,Usf
Head	Dh44	Argk,bru3,BtbVII,CG16779,CG44247,crol,crp,CycT,dimm,E2f1,hth,Kr,Lim1,Mef2,nej,onecut,otp,Psi,Rbp6,Rfx,sd,sr,svp,Tet,Trf2,trx,unc-4
Head	Dsk	E2f1,hth
Head	FMRFa	CG44247,nub,Scr,sr
Head	Gpb5	sqz
Head	Hug	bru3,hth,opa,otp,Ptx1
Head	Ilp2	Blimp-1
Head	Ilp6	Atf3,cnc,Hnf4,kay,Rel,repo,sima,slp1,srp,svp,Xbp1
Head	Ilp7	bsh,CG16779,Psi
Head	Lst	cnc,srp,Xbp1
Head	Mip	bru3,cg,CG16779,dimm,onecut,Ptx1,sr
Head	Ms	CG44247,dimm,Ptx1
Head	NPF	dimm,Ets96B,Rfx,Rx
Head	Nplp1	bigmax,bru3,BtbVII,CG16779,CG44247,crc,crp,D,dimm,E2f1,HLH4C,Mef2,onecut,Rbp6,sr,svp,Tet,Trf2
Head	Proc	bru3,bs,BtbVII,Cf2,CG16779,CG44247,CG7368,CG9609,crc,CrebB,crol,E2f1,gt,hth,Kr,Max,Mef2,Mondo,onecut,Psi,Rbp6,REPTOR-BP,Rfx,Scr,sr,Tet,Trf2,trx,Usf,usp
Head	Ptth	crc
Head	SIFa	CG32532
Head	Tk	acj6,aop,bru3,BtbVII,C15,Cf2,CG16779,CG32532,CG44247,crp,fkh,FoxK,HLH4C,Hr3,Hsf,hth,Kdm4B,Mef2,Oli,onecut,Ptx1,Rbp6,rump,sd,sima,sr,toy,trx
Head	Trissin	dimm
Head	natalisin	dimm
Head	sNPF	Atac3,BtbVII,Cf2,CG16779,CG44247,Clk,CrebB,crp,cyc,dimm,E2f1,ey,fkh,Hr38,hth,Kdm4B,Lim3,luna,Mef2,onecut,pb,Psi,Rbp6,Rfx,sima,Six4,slou,Sox21a,sr,svp,Tet,toy,Trf2
Body	Acp26Aa	Atf6,crc,cwo
Body	Akh	dimm
Body	AstA	CG16779,CG44247,dimm,hbn,Lim3,onecut
Body	AstC	dimm,exex,Lmx1a,Ptx1
Body	Burs	Hr78,Mef2
Body	CCAP	opa
Body	CCHa1	CG44247,dimm,EcR,grh,Hr39,Lim3,otp
Body	CCHa2	Atf3,Cf2,CHES-1-like,cnc,crc,Dif,dimm,foxo,hbn,Hnf4,Hr78,Hsf,Mitf,Mondo,Myc,srp,svp,Trf2,Xbp1
Body	CNMa	Atf3,BtbVII,CHES-1-like,ci,cnc,crc,CrebA,CrebB,cwo,CycT,Dif,E2f1,Eip74EF,foxo,Hnf4,hth,Mef2,Mitf,Mondo,Myc,Rel,REPTOR-BP,SREBP,srp,svp,Trf2,Xbp1
Body	Crz	sv
Body	Dh31	acj6,CG12605,CG16779,CG44247,dimm,kn,Lim3,onecut,pdm3,sr,tup
Body	Dh44	Atf6,CG16779,CG4328,jim,Lim3,onecut,otp,Psi,sr
Body	ETH	dimm
Body	FMRFa	CG12605,onecut,otp,sr
Body	Gpb5	Atf6
Body	Hug	CG16779,EcR,onecut,Rfx,Trf2
Body	Ilp2	pdm3
Body	Ilp4	oc
Body	Ilp6	Cf2,CHES-1-like,cnc,crc,CrebB,foxo,ftz-f1,Hnf4,kay,Myc,Rel,srp,svp,Trf2
Body	Ilp8	cg,CrebB,kay,REPTOR-BP
Body	Lk	dimm
Body	Lst	Cf2,cnc,CrebB,cwo,foxo,Hnf4,Max,Mondo,REPTOR-BP,SREBP,srp,svp,Trf2,trx
Body	Ms	Atf6,crc,CrebA
Body	NPF	dimm
Body	Nplp1	Atf6,CG16779,CG44247,dimm,EcR,kn,slp1,sr
Body	Proc	Abl,Atf6,bi,BtbVII,CG16779,CG44247,CHES-1-like,crc,E2f1,Ets65A,ewg,ftz-f1,Hr38,jim,Lim3,Mnt,NfI,onecut,pdm3,pho,Psi,sr,sv,Trf2
Body	Ptth	cnc,Dif,Dp,Rel,Xbp1
Body	Tk	dimm,ind
Body	natalisin	Atf3,cnc,crc,CrebB,E2f1,foxo,GATAe,ham,Hnf4,kay,Mitf,pnt,Sox14,SREBP,vri,Xbp1
Body	sNPF	acj6,Atf6,CG16779,CG44247,dimm,EcR,Ets65A,ftz-f1,HGTX,Hr39,hth,kn,Lim3,onecut,otp,pb,pdm3,sr,sv,wor,zld
Antenna	AstA	dysf,E5,Jra
Antenna	CCAP	lz,sv
Antenna	CCHa1	Atf3,cnc,Drgx,dve,ems,kay,pnt,repo,shn
Antenna	CCHa2	E2f1,foxo,H15,Hnf4,hth,mid,Mitf,scrt,Sox14
Antenna	Crz	grh
Antenna	Dh31	Atf6,bru3,CHES-1-like,FoxP,Lim3,NFAT,onecut,Rfx,Trf2
Antenna	Dh44	bru3,CHES-1-like,Dll,E2f1,Ets98B,FoxK,hth,Myc,onecut,ovo,Rbp6,Rfx,Trf2,trx,Ubc4
Antenna	Gpb5	CG44247,run
Antenna	Hug	bru3,CG9609,EcR,foxo,Hr3,hth,Kdm4B,Mef2,Mondo,Myc,nej,onecut,otp,peb,Rfx,ro
Antenna	Ilp6	bs,kay,Mitf,repo,slp1,sr,svp
Antenna	Ilp7	FoxP,Lim3,Rfx
Antenna	Ilp8	grh,NFAT
Antenna	Lst	Atf3,sug,vvl
Antenna	Ms	crc
Antenna	NPF	Doc3
Antenna	Nplp1	bru3,CG16779,CG44247,Lim3,Mef2,onecut,Rbp6,Rfx,toy,trx
Antenna	Proc	Abl,Atf6,bru3,BtbVII,CG14667,Dif,E2f1,Fer1,jim,Max,nej,onecut,peb,pnt,Rbp6,Rfx,run,Rx,sr,Trf2,vri
Antenna	RYa	H15
Antenna	Tk	HDAC1,Poxm,Rfx
Antenna	natalisin	cnc,dysf,foxo,grh,Hnf4,Mitf,NFAT,pnt,Rfx,scrt,sv
Antenna	sNPF	aop,bbx,CG44247,CHES-1-like,crc,CrebB,Eip74EF,Fer1,fkh,Hr3,Hr38,Kdm4B,klu,Max,Mef2,Mondo,Myc,onecut,peb,pnt,Rbp6,Rfx,sr,Stat92E,Trf2,trx,Xbp1
Body wall	Acp26Aa	CG6638
Body wall	Akh	CG5245
Body wall	AstA	Hr78,lbl,nonA-l,Oli,onecut,pho,RunxA,Vsx1
Body wall	AstC	Rbf2
Body wall	CCHa1	grh,otp
Body wall	CCHa2	bigmax,CG16779,CHES-1-like,CrebA,foxo,Hr78,Mef2,Mondo,Pdp1,Rel,sd,sr,SREBP,srp,Trf2
Body wall	CNMa	abd-A,Fer1,otp,sim,srp,Sry-delta
Body wall	Crz	grh
Body wall	Dh31	bbx,E2f1,ey,FoxK,FoxP,oc,Tbp
Body wall	Dh44	Dp,Lim3,Max,onecut,Ptx1,Rbf2,Vsx1
Body wall	ETH	foxo,grh,Mef2
Body wall	FMRFa	acj6,CG3065,mor,Vsx1
Body wall	Ilp4	CG2116,D,zld
Body wall	Ilp5	CG2116,gt
Body wall	Ilp6	bs,Cf2,CG16779,CG7101,CHES-1-like,CrebB,E2f2,foxo,jim,Kdm4B,Mef2,Mondo,Pdp1,Rel,SREBP,srp,svp,Trf2,Xbp1
Body wall	Ilp8	EcR,GATAd,kay,mid
Body wall	Lst	CHES-1-like,CrebB,foxo,grh,Mef2,Pdp1,sd,srp,Trf2
Body wall	Ms	Atf6,Nf-YB
Body wall	Nplp1	sr
Body wall	Proc	B-H1,cg,CG16779,D,E5,jim,NfI,Rfx
Body wall	Ptth	Rbf2
Body wall	Tk	bon,RunxA
Body wall	natalisin	CHES-1-like,CrebB,E5,Hr4,jim
Body wall	sNPF	CG16779,Ets21C,Lim1,onecut,pdm3,sr,toy
Fat body	Acp26Aa	da,Ets96B,hng1,Jra
Fat body	Akh	BtbVII,Cf2,CG3065,crc,CrebB,da,Dif,E2f2,Hsf,pho,Rel,slou,Trf2,Zif
Fat body	AstA	ato,Dbx,dimm,eve,GATAe,gcm2,kay,slbo,slou,vri
Fat body	AstC	bs,CG5245,crc,dimm,ftz-f1,hbn,kay,Scr,slbo,slou,vnd,vri
Fat body	CCAP	BtbVII,CG5245,E2f2,Jra,slou,trx,Xbp1,Zif
Fat body	CCHa1	Doc3,grh,gsb-n,Hsf,Jra,ken,Vsx1
Fat body	CCHa2	Atf3,bigmax,Cf2,CHES-1-like,ci,Cnot4,cwo,da,Dif,Dp,foxo,Hsf,Mef2,Mondo,Myc,pnr,Rel,REPTOR-BP,sr,srp,Tet,Trf2,vri,Xbp1
Fat body	CNMa	Atf3,BEAF-32,bigmax,BtbVII,Cf2,ci,crc,CrebA,cwo,cyc,Dif,Dp,EcR,foxo,Hsf,hth,jim,Jra,maf-S,Mef2,Mondo,Myc,NFAT,pita,pnr,REPTOR-BP,SREBP,srp,sug,Trf2,vri,Xbp1
Fat body	Crz	grh,Hsf
Fat body	Dh31	BEAF-32,bs,BtbVII,cg,CG17829,CG4730,crc,Dp,Gsc,Hsf,Jra,maf-S,Max,slou,Trf2
Fat body	Dh44	Atf3,BEAF-32,BtbVII,Cf2,Cnot4,crc,CrebA,CrebB,Dif,ftz-f1,Hsf,Jra,kay,Mef2,pho,phol,Pph13,Rel,Rfx,slou,SREBP,srp,svp,tgo,Trf2,trx,vri,Xbp1
