tname	rgenename	tgenename
Head	AkhR	Atf3,CrebA,Hnf4,hth,Rel,sima,SREBP,srp,svp
Head	AstA-R1	aop,bru3,bs,bsh,CG16779,CHES-1-like,Clk,crp,cwo,dsx,ey,FoxP,grn,hth,luna,Mef2,onecut,otp,pan,pros,Psi,Rbp6,Rx,sd,sima,sr,Tet,tj
Head	AstA-R2	pan,slp1,Tet,tj,zfh2
Head	AstC-R1	Argk,bru3,Eip74EF,Ets65A,FoxP,kay,oc,onecut,peb,Psi,Rbp6,Sox102F,SoxN,Vsx1
Head	AstC-R2	achi,bru3,CG32532,CHES-1-like,crp,dimm,E2f1,Ets65A,hth,Kr,luna,onecut,pho,Psi,Rbp6,Rfx,slou,Tet,Trf2
Head	CCAP-R	aop,Argk,bru3,bs,BtbVII,Cf2,CG16779,CG4328,CG44247,CHES-1-like,Clk,CrebB,crp,dimm,Dp,E2f1,Ets65A,FoxK,FoxP,HLH4C,Hr38,hth,Kdm4B,Lim1,luna,Mef2,nej,Oli,onecut,otp,pb,Rbp6,REPTOR-BP,Rfx,rn,Rx,sr,Tet,Trf2,trx,vtd,vvl
Head	CCHa1-R	bru3,BtbVII,Cf2,CG16779,CG5946,CHES-1-like,crol,crp,CycT,dimm,FoxK,FoxP,hth,Kr,luna,Mef2,onecut,Ptx1,Rfx,Sox102F,sr,Tet,Trf2,trx,Usf
Head	CCHa2-R	BtbVII,CG16779,crp,dimm,E2f1,FoxK,HLH4C,Hr38,otp,Ptx1,REPTOR-BP,sd,sr,unc-4
Head	CCKLR-17D1	hth,onecut,sr,ss
Head	CCKLR-17D3	bru3,CG16779,CG32532,CrebB,Max,Mef2,sr
Head	CNMaR	bru3,CHES-1-like,Drgx,fkh,FoxP,Lim1,onecut,Psi,Ptx1,Rfx,Rx,Sox102F,Sox21b,SoxN,sr,toy
Head	CapaR	bru3
Head	CrzR	B-H2,bru3,cnc,Dif,Dll,E5,ems,grh,Hnf4,hth,klu,pb,Rel,Scr,Xbp1
Head	Dh31-R	bru3,bs,BtbVII,CG16779,CG9727,cnc,CrebB,Dbx,Dp,E2f1,Eip74EF,ey,FoxP,Hr38,Hr78,hth,lbe,Mef2,onecut,pan,pb,Psi,Rfx,sd,sr,Tet,Trf2,Usf,Vsx2,vvl,Xbp1
Head	Dh44-R1	Blimp-1,bru3,CG16779,CG44247,CHES-1-like,Clk,crol,crp,Dbx,Ets65A,FoxK,FoxP,hth,Kdm4B,Lim3,luna,Max,Mef2,nej,onecut,pb,Psi,Rbp6,RunxB,sima,sr,Trf2
Head	Dh44-R2	bru3,CG16779,CG34367,CrebB,ey,Hnf4,Hsf,hth,Kdm4B,Mef2,pan,Psi,repo,sima,sr,svp,Tet,Trf2,trx
Head	ETHR	Eip74EF,Ets65A,lz,Rbp6,sima,Sox102F
Head	FMRFaR	bru3,CG44247,CHES-1-like,Clk,CycT,Dbx,FoxP,Hr38,hth,Kdm4B,Kr,pan,Psi,Rbp6,sima,sr
Head	InR	aop,Atac3,Atf3,Blimp-1,bru3,BtbVII,CG16779,CHES-1-like,cnc,CrebA,crol,crp,cwo,dysf,E2f1,Eip74EF,Ets21C,grh,Hnf4,hth,kay,luna,Mef2,Mnt,nej,NFAT,pan,peb,pnt,Psi,Rbp6,Rel,sd,sima,SoxN,srp,Stat92E,svp,Tet,Trf2,trx
Head	Lgr1	Atf3,cnc,Mef2,sr
Head	Lgr3	br,bru3,Cf2,CG16779,CG44247,CHES-1-like,crp,ey,fkh,FoxK,FoxP,Hr39,onecut,pho,Psi,Ptx1,sd,sr,Tet,toy,unpg
Head	Lgr4	bru3,Cf2,CG16779,CrebB,crp,dimm,Dp,fkh,Kdm4B,Lim1,Mef2,onecut,Psi,Rbp6,Rfx,RunxA,SoxN,sr,svp,Tet,toy,Trf2,trx,Usf
Head	Lkr	BtbVII,crp,dve,FoxK,FoxP,hth,luna,onecut,Psi,sr,svp,Tet,trx,vvl
Head	MsR1	CG16779,crol,crp,CycT,FoxK,Hr3,hth,Lim3,luna,onecut,Rbp6,Rfx,sima,slou,SoxN,sr,svp,Tet,trx,vvl
Head	MsR2	bru3,CHES-1-like,CrebB,crp,fkh,FoxP,Kdm4B,Lim3,onecut,pan,Psi,Rbp6,Rfx,sima,sqz,sr,tj
Head	NPFR	Clk,dimm,hth,Mef2,onecut,Psi,Rfx,sr,Stat92E,svp,Tet,TfAP-2
Head	PK1-R	CrebA,grh,Rel,ss
Head	PK2-R1	acj6,CG16779,CG44247,CHES-1-like,crp,da,E2f1,Mef2,REPTOR-BP,sr,Tet
Head	PK2-R2	BtbVII,CG16779,CG44247,CHES-1-like,crp,E2f1,FoxK,Mef2,sr,Tet,toy,trx,vvl
Head	Pdfr	bru3,BtbVII,CG16779,CG44247,CrebB,D,hth,Kdm4B,luna,Mef2,Mondo,onecut,pan,Rbp6,Rfx,sima,Sox21b,SoxN,Spps,sr,sv,svp,Trf2
Head	Proc-R	CG12605,CG44247,ci,cwo,Drgx,EcR,FoxP,Hnf4,kay,onecut,opa,pnt,repo,scrt,sima,toy,vvl,zfh1,zfh2
Head	RYa-R	Bgb,bru3,BtbVII,Cf2,CG16779,CG44247,crol,Dbx,dimm,E2f1,hth,luna,MTF-1,nej,onecut,pros,Psi,Rbp6,Rfx,RunxA,sr,svp,Trf2,vvl,yps
Head	SIFaR	Argk,BEAF-32,bru3,BtbVII,Cf2,CG16779,CG44247,Clk,Dp,E2f1,Eip74EF,Ets65A,exd,fkh,FoxK,Hr3,hth,Kdm4B,luna,Mef2,nej,oc,onecut,Psi,Rbp6,rump,SoxN,sr,Tet,Trf2,trx,vri
Head	SPR	Blimp-1,bru3,bs,CG16779,CG9609,E2f1,FoxK,FoxP,hth,jigr1,Kdm4B,Lim3,luna,Mef2,nej,onecut,pan,peb,Psi,Rbp6,REPTOR-BP,rump,RunxB,sima,SoxN,sr,Trf2,vri,vvl
Head	TkR86C	crp,fkh,jigr1,luna,Mef2,Oli,onecut,pros,Psi,Rbp6,Rfx,Six4,sr,Trf2
Head	TkR99D	CHES-1-like,Clk,crp,D,FoxP,onecut,pan,Psi,Sox102F,SoxN,svp,Trf2,trx
Head	Tor	CG16779,crp,Dp,onecut,Tet,trx
Head	TrissinR	acj6,crc,CrebB,da,Lim3,luna,Max,onecut,pho,Rfx,slou,sr,svp,Tet,trx
Head	hec	acj6,BtbVII,CG16779,CG32532,crp,Mef2,Rfx,Rx
Head	rk	bru3,bs,BtbVII,Cf2,CG16779,CG32532,CG44247,CHES-1-like,crp,Dbx,dimm,Dp,E2f1,Ets65A,ey,fkh,FoxP,hth,Kdm4B,Kr,Lim3,luna,Mef2,onecut,pb,pros,Psi,Rbp6,Rfx,sd,sima,Six4,SoxN,sr,Tet,Trf2,Vsx1,vvl
Head	sNPF-R	acj6,Atac3,bigmax,bru3,Cf2,CG16779,CG44247,CG9727,cnc,CrebB,crp,hth,Kr,Lmx1a,luna,maf-S,Mef2,nej,onecut,Psi,Rbp6,Rfx,sima,sr,svp,Tet,Trf2,trx,usp,vvl,Xbp1
Body	AkhR	Atf6,Cf2,ct,Dif,foxo,Hnf4,Hr39,Mitf,Mondo,Sox14,srp,svp,Trf2,trx
Body	AstA-R1	Abl,acj6,Atf6,bs,CG16779,CHES-1-like,crc,E2f1,esg,ewg,ey,fkh,FoxK,ftz-f1,Hr39,jim,jumu,Lim3,lov,Myc,onecut,pho,Psi,Ptx1,Sox100B,ss,Trf2,trx,tup,vnd,zfh2
Body	AstA-R2	abd-A,bin,Dif,Hand,Hr39,jim,Mef2,org-1,trx
Body	AstC-R1	Abl,bin,Dif,dimm,ftz-f1,hb,hbn,Hr39,hth,jim,Mef2,NfI,oc,onecut,org-1,otp,pdm3,Psi,sr,sv
Body	AstC-R2	bin,Dif,dimm,Hand,hb,hth,Mef2,onecut,org-1,pdm3
