tname	rgenename	tgenename
Head	AstA-R1	aop,bru3,bs,bsh,CG16779,CHES-1-like,Clk,crp,cwo,dsx,ey,FoxP,grn,hth,luna,Mef2,onecut,otp,pan,pros,Psi,Rbp6,Rx,sd,sima,sr,Tet,tj
Head	AstA-R2	pan,slp1,Tet,tj,zfh2
Head	AstC-R1	Argk,bru3,Eip74EF,Ets65A,FoxP,kay,oc,onecut,peb,Psi,Rbp6,Sox102F,SoxN,Vsx1
Head	AstC-R2	achi,bru3,CG32532,CHES-1-like,crp,dimm,E2f1,Ets65A,hth,Kr,luna,onecut,pho,Psi,Rbp6,Rfx,slou,Tet,Trf2
Head	CapaR	bru3
Head	CrzR	B-H2,bru3,cnc,Dif,Dll,E5,ems,grh,Hnf4,hth,klu,pb,Rel,Scr,Xbp1
Head	FMRFaR	bru3,CG44247,CHES-1-like,Clk,CycT,Dbx,FoxP,Hr38,hth,Kdm4B,Kr,pan,Psi,Rbp6,sima,sr
Head	NPFR	Clk,dimm,hth,Mef2,onecut,Psi,Rfx,sr,Stat92E,svp,Tet,TfAP-2
Head	PK1-R	CrebA,grh,Rel,ss
Head	Pdfr	bru3,BtbVII,CG16779,CG44247,CrebB,D,hth,Kdm4B,luna,Mef2,Mondo,onecut,pan,Rbp6,Rfx,sima,Sox21b,SoxN,Spps,sr,sv,svp,Trf2
Head	SIFaR	Argk,BEAF-32,bru3,BtbVII,Cf2,CG16779,CG44247,Clk,Dp,E2f1,Eip74EF,Ets65A,exd,fkh,FoxK,Hr3,hth,Kdm4B,luna,Mef2,nej,oc,onecut,Psi,Rbp6,rump,SoxN,sr,Tet,Trf2,trx,vri
Head	TkR86C	crp,fkh,jigr1,luna,Mef2,Oli,onecut,pros,Psi,Rbp6,Rfx,Six4,sr,Trf2
Head	sNPF-R	acj6,Atac3,bigmax,bru3,Cf2,CG16779,CG44247,CG9727,cnc,CrebB,crp,hth,Kr,Lmx1a,luna,maf-S,Mef2,nej,onecut,Psi,Rbp6,Rfx,sima,sr,svp,Tet,Trf2,trx,usp,vvl,Xbp1
Body	AstA-R1	Abl,acj6,Atf6,bs,CG16779,CHES-1-like,crc,E2f1,esg,ewg,ey,fkh,FoxK,ftz-f1,Hr39,jim,jumu,Lim3,lov,Myc,onecut,pho,Psi,Ptx1,Sox100B,ss,Trf2,trx,tup,vnd,zfh2
